0	1	2	3	4	5	6	7	8
1	ctl	ctl0	nan	control	0.04	fixation	3.039	2
2	enc	enc00	nan	encoding	5.039	fixation	8.039	3
3	enc	enc000	nan	encoding	11.038	fixation	14.038	2
4	ctl	ctl01	nan	control	16.038	fixation	19.038	1
5	enc	enc01	old60	encoding	20.038	fixation	23.037	8
6	enc	enc02	old08	encoding	31.037	fixation	34.036	7.5
7	enc	enc03	old62	encoding	41.535	fixation	44.535	0.5
8	enc	enc04	old47	encoding	45.035	fixation	48.035	6
9	enc	enc05	old41	encoding	54.034	fixation	57.034	2
10	enc	enc06	old69	encoding	59.034	fixation	62.033	2
11	ctl	ctl02	nan	control	64.033	fixation	67.033	4
12	ctl	ctl03	nan	control	71.033	fixation	74.032	2.5
13	ctl	ctl04	nan	control	76.532	fixation	79.532	1.5
14	ctl	ctl05	nan	control	81.032	fixation	84.031	5
15	enc	enc07	old58	encoding	89.031	fixation	92.031	1
16	enc	enc08	old05	encoding	93.03	fixation	96.03	3
17	ctl	ctl06	nan	control	99.03	fixation	102.03	3
18	enc	enc09	old45	encoding	105.029	fixation	108.029	2.5
19	enc	enc10	old12	encoding	110.529	fixation	113.528	6.5
20	enc	enc11	old34	encoding	120.028	fixation	123.028	2.5
21	enc	enc12	old32	encoding	125.527	fixation	128.527	2
22	enc	enc13	old77	encoding	130.527	fixation	133.527	4.5
23	enc	enc14	old76	encoding	138.026	fixation	141.026	4.5
24	enc	enc15	old71	encoding	145.525	fixation	148.525	2.5
25	enc	enc16	old78	encoding	151.025	fixation	154.025	1
26	enc	enc17	old09	encoding	155.024	fixation	158.024	1.5
27	ctl	ctl07	nan	control	159.524	fixation	162.524	4
28	ctl	ctl08	nan	control	166.523	fixation	169.523	3
29	enc	enc18	old30	encoding	172.523	fixation	175.522	1
30	enc	enc19	old14	encoding	176.522	fixation	179.522	1
31	enc	enc20	old25	encoding	180.522	fixation	183.522	0.5
32	enc	enc21	old66	encoding	184.022	fixation	187.021	3.5
33	enc	enc22	old26	encoding	190.521	fixation	193.521	4.5
34	ctl	ctl09	nan	control	198.02	fixation	201.02	9.5
35	enc	enc23	old01	encoding	210.519	fixation	213.519	3.5
36	ctl	ctl10	nan	control	217.018	fixation	220.018	4
37	enc	enc24	old22	encoding	224.018	fixation	227.017	4
38	enc	enc25	old51	encoding	231.017	fixation	234.017	1
39	enc	enc26	old20	encoding	235.017	fixation	238.016	6
40	enc	enc27	old48	encoding	244.016	fixation	247.016	6.5
41	enc	enc28	old28	encoding	253.515	fixation	256.515	2
42	enc	enc29	old44	encoding	258.514	fixation	261.514	1.5
43	enc	enc30	old40	encoding	263.014	fixation	266.014	2.5
44	enc	enc31	old39	encoding	268.513	fixation	271.513	4.5
45	enc	enc32	old04	encoding	276.013	fixation	279.012	0.5
46	ctl	ctl11	nan	control	279.512	fixation	282.512	1
47	enc	enc33	old06	encoding	283.512	fixation	286.512	1.5
48	enc	enc34	old65	encoding	288.012	fixation	291.011	2
49	ctl	ctl12	nan	control	293.011	fixation	296.011	4
50	enc	enc35	old03	encoding	300.01	fixation	303.01	2
51	enc	enc36	old63	encoding	305.01	fixation	308.01	2.5
52	enc	enc37	old18	encoding	310.509	fixation	313.509	2
53	enc	enc38	old75	encoding	315.509	fixation	318.509	14.5
54	enc	enc39	old15	encoding	333.007	fixation	336.007	4
55	ctl	ctl13	nan	control	340.006	fixation	343.006	1.5
56	enc	enc40	old23	encoding	344.506	fixation	347.506	1
57	ctl	ctl14	nan	control	348.506	fixation	351.505	3
58	ctl	ctl15	nan	control	354.505	fixation	357.505	5.5
59	ctl	ctl16	nan	control	363.004	fixation	366.004	2
60	enc	enc41	old49	encoding	368.004	fixation	371.003	2.5
61	enc	enc42	old33	encoding	373.503	fixation	376.503	3
62	enc	enc43	old31	encoding	379.503	fixation	382.502	3
63	enc	enc44	old74	encoding	385.502	fixation	388.502	2
64	enc	enc45	old56	encoding	390.502	fixation	393.501	5
65	enc	enc46	old59	encoding	398.501	fixation	401.501	4.5
66	ctl	ctl17	nan	control	406	fixation	409	10.5
67	enc	enc47	old72	encoding	419.499	fixation	422.498	2.5
68	enc	enc48	old38	encoding	424.998	fixation	427.998	2.5
69	ctl	ctl18	nan	control	430.498	fixation	433.497	6
70	ctl	ctl19	nan	control	439.497	fixation	442.497	3.5
71	enc	enc49	old21	encoding	445.996	fixation	448.996	1.5
72	ctl	ctl20	nan	control	450.496	fixation	453.495	2.5
73	ctl	ctl21	nan	control	455.995	fixation	458.995	4
74	enc	enc50	old10	encoding	462.995	fixation	465.994	2
75	enc	enc51	old61	encoding	467.994	fixation	470.994	3
76	ctl	ctl22	nan	control	473.993	fixation	476.993	3
77	enc	enc52	old42	encoding	479.993	fixation	482.993	4
78	enc	enc53	old16	encoding	486.992	fixation	489.992	0.5
79	ctl	ctl23	nan	control	490.492	fixation	493.492	8
80	ctl	ctl24	nan	control	501.491	fixation	504.491	3
81	enc	enc54	old43	encoding	507.49	fixation	510.49	0.5
82	enc	enc55	old36	encoding	510.99	fixation	513.99	1.5
83	enc	enc56	old35	encoding	515.489	fixation	518.489	4
84	ctl	ctl25	nan	control	522.489	fixation	525.488	5
85	enc	enc57	old70	encoding	530.488	fixation	533.488	7.5
86	ctl	ctl26	nan	control	540.987	fixation	543.987	1
87	ctl	ctl27	nan	control	544.987	fixation	547.986	1.5
88	enc	enc58	old24	encoding	549.486	fixation	552.486	0.5
89	enc	enc59	old67	encoding	552.986	fixation	555.985	1.5
90	enc	enc60	old50	encoding	557.485	fixation	560.485	2
91	ctl	ctl28	nan	control	562.485	fixation	565.485	1
92	ctl	ctl29	nan	control	566.484	fixation	569.484	5
93	ctl	ctl30	nan	control	574.484	fixation	577.483	2
94	ctl	ctl31	nan	control	579.483	fixation	582.483	5.5
95	enc	enc61	old29	encoding	587.982	fixation	590.982	0.5
96	ctl	ctl32	nan	control	591.482	fixation	594.482	8
97	enc	enc62	old54	encoding	602.481	fixation	605.481	1
98	ctl	ctl33	nan	control	606.481	fixation	609.48	0.5
99	enc	enc63	old02	encoding	609.98	fixation	612.98	3.5
100	enc	enc64	old07	encoding	616.48	fixation	619.479	1.5
101	enc	enc65	old64	encoding	620.979	fixation	623.979	2.5
102	enc	enc66	old73	encoding	626.479	fixation	629.478	9.5
103	enc	enc67	old57	encoding	638.977	fixation	641.977	0.5
104	ctl	ctl34	nan	control	642.477	fixation	645.477	1
105	enc	enc68	old27	encoding	646.477	fixation	649.476	3
106	enc	enc69	old13	encoding	652.476	fixation	655.476	1
107	ctl	ctl35	nan	control	656.476	fixation	659.475	2
108	ctl	ctl36	nan	control	661.475	fixation	664.475	0.5
109	enc	enc70	old53	encoding	664.975	fixation	667.975	2
110	ctl	ctl37	nan	control	669.974	fixation	672.974	8.5
111	enc	enc71	old46	encoding	681.473	fixation	684.473	1.5
112	enc	enc72	old11	encoding	685.973	fixation	688.973	1
113	enc	enc73	old52	encoding	689.972	fixation	692.972	1
114	enc	enc74	old19	encoding	693.972	fixation	696.972	4
115	enc	enc75	old68	encoding	700.971	fixation	703.971	9.5
116	ctl	ctl38	nan	control	713.47	fixation	716.47	4.5
117	ctl	ctl39	nan	control	720.969	fixation	723.969	0.5
118	enc	enc76	old55	encoding	724.469	fixation	727.469	4
119	enc	enc77	old37	encoding	731.468	fixation	734.468	1
120	enc	enc78	old17	encoding	735.468	fixation	738.468	11.5
