trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	5	2	724	0
2	enc	enc00	nan	8	2	630	0
3	enc	enc000	nan	9	2	922	0
4	ctl	ctl01	nan	8	2	1386	0
5	enc	enc01	old61	6	2	858	0
6	enc	enc02	old01	5	2	845	0
7	enc	enc03	old25	6	2	1485	0
8	enc	enc04	old66	9	2	1348	0
9	enc	enc05	old56	8	2	1534	0
10	enc	enc06	old50	9	2	785	0
11	ctl	ctl02	nan	5	2	670	0
12	ctl	ctl03	nan	6	2	717	0
13	enc	enc07	old36	8	2	604	0
14	ctl	ctl04	nan	8	2	714	0
15	enc	enc08	old46	6	2	862	0
16	enc	enc09	old23	5	2	755	0
17	ctl	ctl05	nan	8	2	585	0
18	enc	enc10	old34	6	2	875	0
19	enc	enc11	old06	6	2	1162	0
20	enc	enc12	old19	8	2	1009	0
21	enc	enc13	old71	5	2	915	0
22	enc	enc14	old24	9	2	1123	0
23	enc	enc15	old31	9	2	882	0
24	enc	enc16	old35	5	2	819	0
25	enc	enc17	old20	5	2	818	0
26	ctl	ctl06	nan	5	2	746	0
27	enc	enc18	old04	5	2	869	0
28	enc	enc19	old45	8	2	960	0
29	ctl	ctl07	nan	5	2	701	0
30	enc	enc20	old75	6	2	875	0
31	enc	enc21	old53	5	2	1288	0
32	enc	enc22	old76	6	2	810	0
33	enc	enc23	old02	5	2	1815	0
34	enc	enc24	old13	8	2	901	0
35	enc	enc25	old40	5	2	1023	0
36	enc	enc26	old62	9	2	1510	0
37	ctl	ctl08	nan	6	2	766	0
38	ctl	ctl09	nan	9	2	668	0
39	ctl	ctl10	nan	8	2	606	0
40	ctl	ctl11	nan	5	2	615	0
41	enc	enc27	old52	8	2	808	0
42	ctl	ctl12	nan	9	2	941	0
43	enc	enc28	old16	9	2	1474	0
44	ctl	ctl13	nan	6	2	1262	0
45	enc	enc29	old38	8	2	1011	0
46	enc	enc30	old65	6	2	796	0
47	enc	enc31	old12	9	2	825	0
48	enc	enc32	old70	6	2	681	0
49	enc	enc33	old18	9	2	815	0
50	enc	enc34	old14	6	2	862	0
51	ctl	ctl14	nan	6	2	769	0
52	enc	enc35	old67	5	2	694	0
53	enc	enc36	old07	9	2	752	0
54	enc	enc37	old05	8	2	644	0
55	enc	enc38	old41	6	2	722	0
56	ctl	ctl15	nan	6	2	1161	0
57	ctl	ctl16	nan	9	2	801	0
58	enc	enc39	old55	6	2	573	0
59	enc	enc40	old64	5	2	778	0
60	enc	enc41	old72	6	2	612	0
61	ctl	ctl17	nan	8	2	817	0
62	enc	enc42	old54	9	2	834	0
63	enc	enc43	old15	8	2	701	0
64	enc	enc44	old33	9	2	1157	0
65	ctl	ctl18	nan	9	nan	0	1
66	enc	enc45	old22	8	2	645	0
67	enc	enc46	old28	9	2	666	0
68	ctl	ctl19	nan	8	2	497	0
69	ctl	ctl20	nan	5	2	591	0
70	ctl	ctl21	nan	5	nan	0	1
71	ctl	ctl22	nan	8	2	547	0
72	ctl	ctl23	nan	9	2	639	0
73	ctl	ctl24	nan	8	2	627	0
74	enc	enc47	old39	6	2	694	0
75	enc	enc48	old10	6	2	888	0
76	enc	enc49	old48	8	2	940	0
77	enc	enc50	old44	9	2	838	0
78	enc	enc51	old03	6	2	1055	0
79	ctl	ctl25	nan	9	2	1151	0
80	ctl	ctl26	nan	5	2	622	0
81	enc	enc52	old49	5	2	779	0
82	enc	enc53	old59	9	nan	0	1
83	enc	enc54	old47	8	2	974	0
84	enc	enc55	old63	8	2	760	0
85	ctl	ctl27	nan	6	2	531	0
86	enc	enc56	old29	6	2	690	0
87	ctl	ctl28	nan	6	2	715	0
88	enc	enc57	old58	9	2	598	0
89	enc	enc58	old78	9	2	869	0
90	enc	enc59	old57	5	2	773	0
91	ctl	ctl29	nan	9	2	626	0
92	enc	enc60	old60	8	2	725	0
93	ctl	ctl30	nan	8	2	635	0
94	enc	enc61	old08	8	2	604	0
95	ctl	ctl31	nan	8	2	620	0
96	enc	enc62	old37	5	2	662	0
97	ctl	ctl32	nan	5	2	636	0
98	enc	enc63	old74	8	2	757	0
99	enc	enc64	old68	9	2	634	0
100	ctl	ctl33	nan	9	2	608	0
101	ctl	ctl34	nan	9	2	673	0
102	enc	enc65	old69	8	2	673	0
103	enc	enc66	old73	8	2	773	0
104	ctl	ctl35	nan	6	2	552	0
105	enc	enc67	old09	5	2	690	0
106	enc	enc68	old11	9	2	639	0
107	enc	enc69	old32	5	2	733	0
108	enc	enc70	old43	9	2	1103	0
109	enc	enc71	old30	8	2	564	0
110	ctl	ctl36	nan	6	2	650	0
111	enc	enc72	old21	6	2	590	0
112	enc	enc73	old77	9	2	707	0
113	ctl	ctl37	nan	5	2	766	0
114	ctl	ctl38	nan	6	2	612	0
115	enc	enc74	old42	5	2	665	0
116	enc	enc75	old51	6	2	672	0
117	ctl	ctl39	nan	9	2	622	0
118	enc	enc76	old26	5	2	784	0
119	enc	enc77	old27	5	2	656	0
120	enc	enc78	old17	8	2	591	0
