trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	8	3	1270	0
2	enc	enc000	nan	9	3	836	0
3	ctl	ctl0	nan	8	3	1222	0
4	enc	enc01	old63	6	3	1366	0
5	enc	enc02	old08	5	3	807	0
6	enc	enc03	old26	6	3	992	0
7	enc	enc04	old69	9	3	1128	0
8	enc	enc05	old61	8	3	1525	0
9	enc	enc06	old42	9	3	1007	0
10	enc	enc07	old30	8	3	1984	0
11	ctl	ctl01	nan	8	3	869	0
12	ctl	ctl02	nan	5	3	796	0
13	enc	enc08	old49	6	3	1163	0
14	ctl	ctl03	nan	6	3	972	0
15	enc	enc09	old22	5	3	1277	0
16	enc	enc10	old27	6	3	1111	0
17	ctl	ctl04	nan	8	3	854	0
18	enc	enc11	old03	6	3	1048	0
19	enc	enc12	old24	8	3	1102	0
20	enc	enc13	old72	5	3	1046	0
21	enc	enc14	old16	9	3	1245	0
22	enc	enc15	old36	9	3	1148	0
23	enc	enc16	old38	5	3	1528	0
24	enc	enc17	old21	5	3	1247	0
25	enc	enc18	old10	5	3	1049	0
26	ctl	ctl05	nan	8	3	835	0
27	ctl	ctl06	nan	5	3	607	0
28	enc	enc19	old46	8	3	1327	0
29	enc	enc20	old75	6	3	927	0
30	enc	enc21	old54	5	3	1062	0
31	ctl	ctl07	nan	5	3	734	0
32	enc	enc22	old67	6	3	775	0
33	enc	enc23	old02	5	3	1183	0
34	ctl	ctl08	nan	6	3	849	0
35	enc	enc24	old13	8	3	1021	0
36	enc	enc25	old40	5	3	1105	0
37	enc	enc26	old58	9	3	928	0
38	enc	enc27	old44	8	3	1009	0
39	enc	enc28	old20	9	3	1099	0
40	enc	enc29	old31	8	3	1170	0
41	enc	enc30	old59	6	3	1812	0
42	ctl	ctl09	nan	9	3	1160	0
43	ctl	ctl10	nan	8	3	1066	0
44	enc	enc31	old09	9	3	1182	0
45	enc	enc32	old76	6	3	1016	0
46	enc	enc33	old17	9	3	994	0
47	enc	enc34	old14	6	3	838	0
48	ctl	ctl11	nan	5	3	744	0
49	enc	enc35	old70	5	3	876	0
50	enc	enc36	old04	9	3	1010	0
51	ctl	ctl12	nan	9	3	812	0
52	enc	enc37	old07	8	3	770	0
53	ctl	ctl13	nan	6	3	803	0
54	ctl	ctl14	nan	6	3	701	0
55	ctl	ctl15	nan	6	3	513	0
56	ctl	ctl16	nan	9	3	589	0
57	enc	enc38	old43	6	3	589	0
58	enc	enc39	old65	6	3	581	0
59	enc	enc40	old57	5	3	939	0
60	enc	enc41	old68	6	3	762	0
61	enc	enc42	old62	9	3	973	0
62	enc	enc43	old23	8	3	967	0
63	enc	enc44	old34	9	3	1243	0
64	enc	enc45	old25	8	3	2117	0
65	enc	enc46	old32	9	3	1057	0
66	enc	enc47	old35	6	3	819	0
67	enc	enc48	old01	6	3	806	0
68	enc	enc49	old52	8	3	992	0
69	enc	enc50	old41	9	3	1030	0
70	enc	enc51	old05	6	3	787	0
71	ctl	ctl17	nan	8	3	794	0
72	enc	enc52	old51	5	3	1116	0
73	ctl	ctl18	nan	9	3	699	0
74	ctl	ctl19	nan	8	3	567	0
75	ctl	ctl20	nan	5	3	655	0
76	enc	enc53	old60	9	3	1173	0
77	enc	enc54	old50	8	3	1703	0
78	enc	enc55	old53	8	3	1307	0
79	enc	enc56	old28	6	3	1034	0
80	ctl	ctl21	nan	5	3	735	0
81	enc	enc57	old55	9	3	849	0
82	ctl	ctl22	nan	8	3	679	0
83	enc	enc58	old73	9	3	628	0
84	ctl	ctl23	nan	9	3	644	0
85	ctl	ctl24	nan	8	3	645	0
86	ctl	ctl25	nan	9	3	812	0
87	ctl	ctl26	nan	5	3	610	0
88	enc	enc59	old56	5	3	1697	0
89	ctl	ctl27	nan	6	3	858	0
90	ctl	ctl28	nan	6	3	599	0
91	enc	enc60	old64	8	3	1589	0
92	ctl	ctl29	nan	9	3	703	0
93	enc	enc61	old06	8	3	845	0
94	enc	enc62	old33	5	3	997	0
95	enc	enc63	old66	8	3	751	0
96	ctl	ctl30	nan	8	3	2466	0
97	enc	enc64	old77	9	3	1038	0
98	enc	enc65	old78	8	3	743	0
99	enc	enc66	old71	8	3	955	0
100	ctl	ctl31	nan	8	3	709	0
101	ctl	ctl32	nan	5	3	841	0
102	enc	enc67	old11	5	3	850	0
103	ctl	ctl33	nan	9	3	750	0
104	ctl	ctl34	nan	9	3	752	0
105	ctl	ctl35	nan	6	3	613	0
106	enc	enc68	old12	9	3	1015	0
107	ctl	ctl36	nan	6	3	969	0
108	ctl	ctl37	nan	5	3	649	0
109	ctl	ctl38	nan	6	3	568	0
110	enc	enc69	old29	5	3	734	0
111	enc	enc70	old47	9	3	1287	0
112	enc	enc71	old39	8	3	998	0
113	enc	enc72	old18	6	3	924	0
114	enc	enc73	old74	9	3	1013	0
115	ctl	ctl39	nan	9	3	759	0
116	enc	enc74	old45	5	3	888	0
117	enc	enc75	old48	6	3	901	0
118	enc	enc76	old15	5	3	1008	0
119	enc	enc77	old37	5	3	1052	0
120	enc	enc78	old19	8	3	1134	0
