0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.01	fixation	3.019	4.5
2	enc	enc000	nan	encoding	7.515	fixation	10.524	0.5
3	ctl	ctl0	nan	control	11.026	fixation	14.035	0.5
4	enc	enc01	old54	encoding	14.536	fixation	17.545	6.5
5	enc	enc02	old03	encoding	24.031	fixation	27.04	2
6	enc	enc03	old26	encoding	29.03	fixation	32.039	1.5
7	enc	enc04	old66	encoding	33.527	fixation	36.536	1
8	enc	enc05	old59	encoding	37.539	fixation	40.548	8.5
9	enc	enc06	old48	encoding	49.04	fixation	52.049	2
10	enc	enc07	old31	encoding	54.038	fixation	57.047	2.5
11	ctl	ctl01	nan	control	59.538	fixation	62.547	1.5
12	ctl	ctl02	nan	control	64.034	fixation	67.043	1.5
13	enc	enc08	old49	encoding	68.531	fixation	71.54	0.5
14	ctl	ctl03	nan	control	72.042	fixation	75.051	0.5
15	enc	enc09	old15	encoding	75.552	fixation	78.561	2
16	enc	enc10	old27	encoding	80.55	fixation	83.559	1.5
17	ctl	ctl04	nan	control	85.047	fixation	88.056	2
18	enc	enc11	old13	encoding	90.045	fixation	93.054	7.5
19	enc	enc12	old17	encoding	100.543	fixation	103.552	5
20	enc	enc13	old69	encoding	108.551	fixation	111.56	1.5
21	enc	enc14	old18	encoding	113.047	fixation	116.056	3
22	enc	enc15	old28	encoding	119.049	fixation	122.058	1
23	enc	enc16	old29	encoding	123.061	fixation	126.07	1.5
24	enc	enc17	old23	encoding	127.558	fixation	130.567	8.5
25	enc	enc18	old09	encoding	139.059	fixation	142.068	2
26	ctl	ctl05	nan	control	144.057	fixation	147.066	1
27	ctl	ctl06	nan	control	148.069	fixation	151.078	1.5
28	enc	enc19	old50	encoding	152.566	fixation	155.575	6.5
29	enc	enc20	old71	encoding	162.077	fixation	165.086	1.5
30	enc	enc21	old64	encoding	166.574	fixation	169.583	6.5
31	ctl	ctl07	nan	control	176.086	fixation	179.095	3.5
32	enc	enc22	old72	encoding	182.589	fixation	185.598	8
33	enc	enc23	old02	encoding	193.588	fixation	196.597	13
34	ctl	ctl08	nan	control	209.586	fixation	212.595	1
35	enc	enc24	old04	encoding	213.598	fixation	216.607	2.5
36	enc	enc25	old44	encoding	219.098	fixation	222.107	1.5
37	enc	enc26	old57	encoding	223.594	fixation	226.603	3.5
38	enc	enc27	old47	encoding	230.097	fixation	233.106	2
39	enc	enc28	old14	encoding	235.096	fixation	238.105	3
40	enc	enc29	old36	encoding	241.097	fixation	244.106	7
41	enc	enc30	old62	encoding	251.093	fixation	254.102	1
42	ctl	ctl09	nan	control	255.089	fixation	258.098	0.5
43	ctl	ctl10	nan	control	258.599	fixation	261.608	1
44	enc	enc31	old10	encoding	262.594	fixation	265.603	0.5
45	enc	enc32	old74	encoding	266.105	fixation	269.114	7
46	enc	enc33	old19	encoding	276.101	fixation	279.11	4
47	enc	enc34	old22	encoding	283.106	fixation	286.115	2
48	ctl	ctl11	nan	control	288.104	fixation	291.113	2.5
49	enc	enc35	old67	encoding	293.604	fixation	296.613	4.5
50	enc	enc36	old06	encoding	301.109	fixation	304.118	0.5
51	ctl	ctl12	nan	control	304.62	fixation	307.629	3
52	enc	enc37	old11	encoding	310.621	fixation	313.63	2
53	ctl	ctl13	nan	control	315.619	fixation	318.628	0.5
54	ctl	ctl14	nan	control	319.13	fixation	322.139	1
55	ctl	ctl15	nan	control	323.142	fixation	326.151	2.5
56	ctl	ctl16	nan	control	328.642	fixation	331.651	6.5
57	enc	enc38	old46	encoding	338.153	fixation	341.162	9.5
58	enc	enc39	old61	encoding	350.657	fixation	353.666	3
59	enc	enc40	old56	encoding	356.659	fixation	359.668	3
60	enc	enc41	old77	encoding	362.66	fixation	365.669	1
61	enc	enc42	old65	encoding	366.672	fixation	369.681	2
62	enc	enc43	old24	encoding	371.67	fixation	374.679	1
63	enc	enc44	old39	encoding	375.666	fixation	378.675	0.5
64	enc	enc45	old25	encoding	379.176	fixation	382.185	2.5
65	enc	enc46	old30	encoding	384.676	fixation	387.685	8.5
66	enc	enc47	old34	encoding	396.177	fixation	399.186	5.5
67	enc	enc48	old01	encoding	404.686	fixation	407.695	2
68	enc	enc49	old51	encoding	409.684	fixation	412.693	6
69	enc	enc50	old43	encoding	418.694	fixation	421.703	6
70	enc	enc51	old12	encoding	427.704	fixation	430.713	1.5
71	ctl	ctl17	nan	control	432.201	fixation	435.21	2
72	enc	enc52	old45	encoding	437.199	fixation	440.208	1.5
73	ctl	ctl18	nan	control	441.696	fixation	444.705	4
74	ctl	ctl19	nan	control	448.7	fixation	451.709	0.5
75	ctl	ctl20	nan	control	452.211	fixation	455.22	6
76	enc	enc53	old58	encoding	461.221	fixation	464.23	0.5
77	enc	enc54	old40	encoding	464.732	fixation	467.741	2.5
78	enc	enc55	old63	encoding	470.231	fixation	473.24	1.5
79	enc	enc56	old32	encoding	474.728	fixation	477.737	2.5
80	ctl	ctl21	nan	control	480.228	fixation	483.237	5.5
81	enc	enc57	old55	encoding	488.737	fixation	491.746	4.5
82	ctl	ctl22	nan	control	496.243	fixation	499.251	2.5
83	enc	enc58	old70	encoding	501.742	fixation	504.751	6.5
84	ctl	ctl23	nan	control	511.254	fixation	514.263	6.5
85	ctl	ctl24	nan	control	520.766	fixation	523.775	1.5
86	ctl	ctl25	nan	control	525.263	fixation	528.272	4.5
87	ctl	ctl26	nan	control	532.768	fixation	535.777	1.5
88	enc	enc59	old60	encoding	537.265	fixation	540.274	0.5
89	ctl	ctl27	nan	control	540.776	fixation	543.785	10.5
90	ctl	ctl28	nan	control	554.283	fixation	557.292	4.5
91	enc	enc60	old53	encoding	561.788	fixation	564.797	2
92	ctl	ctl29	nan	control	566.787	fixation	569.796	1.5
93	enc	enc61	old05	encoding	571.283	fixation	574.292	12.5
94	enc	enc62	old37	encoding	586.78	fixation	589.789	2
95	enc	enc63	old76	encoding	591.778	fixation	594.787	1
96	ctl	ctl30	nan	control	595.79	fixation	598.799	4
97	enc	enc64	old75	encoding	602.794	fixation	605.803	0.5
98	enc	enc65	old68	encoding	606.305	fixation	609.314	4
99	enc	enc66	old78	encoding	613.309	fixation	616.318	3.5
100	ctl	ctl31	nan	control	619.812	fixation	622.821	1
101	ctl	ctl32	nan	control	623.824	fixation	626.833	0.5
102	enc	enc67	old08	encoding	627.334	fixation	630.343	2.5
103	ctl	ctl33	nan	control	632.834	fixation	635.843	0.5
104	ctl	ctl34	nan	control	636.344	fixation	639.353	9
105	ctl	ctl35	nan	control	648.347	fixation	651.356	2
106	enc	enc68	old07	encoding	653.345	fixation	656.354	0.5
107	ctl	ctl36	nan	control	656.856	fixation	659.865	2
108	ctl	ctl37	nan	control	661.854	fixation	664.863	4.5
109	ctl	ctl38	nan	control	669.36	fixation	672.369	4.5
