category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	kitchen_cookie cutter.bmp	old30	1	1	1682	6	5309	
new	animal_dolphin_old.bmp	new09	1	2	4332	6	5309	
new	sporting_flippers.bmp	new02	1	2	1338	6	5309	
old	kitchen_coffee pot.bmp	old29	1	1	1313	8	2915	
new	vegie_cucumber.bmp	new33	0	1	1547	8	1755	
old	kitchen_tea cup and saucer.bmp	old37	0	2	1938	8	1755	
old	fruit_pineapple_old.bmp	old70	1	1	1248	6	3813	
old	animal_chimpanzee.bmp	old03	1	1	2193	6	2320	
old	food_chocolatemilk.bmp	old17	1	1	1615	6	1476	
old	musical_drums_old.bmp	old46	1	1	4188	9	875	
new	animal_gorilla.bmp	new15	1	2	3732	9	875	
old	musical_tuba.bmp	old50	1	1	1771	6	954	
old	food_croissant01.bmp	old19	1	1	1424	5	901	
old	fruit_lemon_new.bmp	old69	1	1	1214	5	2044	
old	vegie_corn02.bmp	old73	1	1	1358	9	1854	
new	musical_french horn_old.bmp	new12	1	2	3872	9	1854	
new	sporting_golf ball.bmp	new19	1	2	1433	9	1854	
old	sporting_americanfootball.bmp	old53	1	1	1364	6	2060	
old	musical_triangle.bmp	old49	1	1	1214	6	572	
old	animal_camel_new.bmp	old01	1	1	1162	8	922	
old	fruit_watermelon_old.bmp	old71	1	1	1513	6	803	
old	animal_siamese cat.bmp	old12	1	1	1423	5	772	
new	animal_giraffe.bmp	new03	1	2	2817	5	772	
new	vegie_pumpkin.bmp	new21	1	2	2109	5	772	
old	sporting_snow shoes_old.bmp	old64	1	1	1222	6	2347	
new	fruit_apricot_new.bmp	new04	1	2	2578	6	2347	
new	animal_seal.bmp	new38	1	2	1719	6	2347	
old	food_rawchicken.bmp	old23	0	2	7726	6	2347	
old	musical_double bass.bmp	old45	0	2	6262	6	2347	
old	sporting_hockey stick_old.bmp	old58	1	1	1352	8	2353	
new	food_walnut01c.bmp	new34	0	1	1711	5	1369	
old	sporting_soccer ball_new.bmp	old65	1	1	1342	6	3063	
new	sporting_weighlifting.bmp	new25	1	2	1122	6	3063	
old	kitchen_white strainer.bmp	old38	1	1	1409	9	3280	
old	kitchen_apron.bmp	old27	1	1	1481	9	843	
new	vegie_broccoli.bmp	new36	1	2	2182	9	843	
old	food_baguette01.bmp	old14	1	1	1276	9	1727	
old	kitchen_pitcher.bmp	old34	1	1	1255	5	2178	
new	fruit_granny smith apple.bmp	new16	1	2	1456	5	2178	
new	kitchen_ramekin.bmp	new13	1	2	3235	5	2178	
old	sporting_fishing rod.bmp	old59	1	1	1293	9	511	
old	animal_farm pig.bmp	old05	1	1	1695	5	3266	
new	kitchen_fork_old.bmp	new18	1	2	1340	5	3266	
old	vegie_cauliflower.bmp	old72	0	2	1140	5	3266	
new	fruit_cherry.bmp	old67	1	1	1146	8	1899	
new	musical_zamponia windflute.bmp	new29	1	2	2173	8	1899	
old	sporting_badminton racquet.bmp	old54	1	1	3739	9	2571	
new	musical_bongo drum.bmp	new23	1	2	3232	9	2571	
old	animal_sheep.bmp	old11	1	1	1965	6	1981	
old	kitchen_plate.bmp	old35	0	2	3562	6	1981	
old	musical_accordion_old.bmp	old41	1	1	1576	5	1712	
new	fruit_rasberry.bmp	new10	1	2	1232	5	1712	
new	animal_horse.bmp	new20	1	2	1243	5	1712	
new	musical_tambourine_new.bmp	new06	1	2	1981	5	1712	
old	kitchen_ladle.bmp	old31	1	1	1620	5	1026	
new	sporting_basketball_new.bmp	new14	0	1	1253	6	1114	
new	food_drink.bmp	new05	1	2	1034	6	1114	
old	vegie_green capsicum.bmp	old75	1	1	3653	9	890	
old	hard_musical_recorder.bmp	old40	1	1	1428	9	3424	
old	musical_harp_new.bmp	old43	1	1	1428	8	1649	
new	kitchen_garlic press.bmp	new07	1	2	1413	8	1649	
new	kitchen_spatula_old.bmp	new37	1	2	2945	8	1649	
old	animal_frog.bmp	old06	1	1	1433	5	558	
old	animal_lion_new.bmp	old07	0	2	2572	5	558	
