trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	9	2	1933	0	5.099	8.099	3
2	enc	enc00	nan	5	2	2396	0	11.099	14.099	2
3	enc	enc000	nan	9	2	1311	0	16.099	19.098	1
4	ctl	ctl01	nan	6	2	1205	0	20.098	23.098	8
5	enc	enc01	old54	8	2	1139	0	31.097	34.097	7.5
6	enc	enc02	old01	5	2	1770	0	41.597	44.596	0.5
7	enc	enc03	old59	5	2	1881	0	45.096	48.096	6
8	enc	enc04	old42	6	2	2393	0	54.096	57.095	2
9	enc	enc05	old46	5	2	1957	0	59.095	62.095	2
10	enc	enc06	old78	9	2	1960	0	64.095	67.095	4
11	ctl	ctl02	nan	5	nan	0	1	71.094	74.094	2.5
12	ctl	ctl03	nan	6	2	1603	0	76.594	79.594	1.5
13	ctl	ctl04	nan	6	2	1611	0	81.093	84.093	5
14	ctl	ctl05	nan	9	2	1572	0	89.093	92.093	1
15	enc	enc07	old55	6	2	2774	0	93.092	96.092	3
16	enc	enc08	old09	8	2	2233	0	99.092	102.092	3
17	ctl	ctl06	nan	9	2	1114	0	105.092	108.091	2.5
18	enc	enc09	old40	9	2	2350	0	110.591	113.591	6.5
19	enc	enc10	old04	5	2	1985	0	120.09	123.09	2.5
20	enc	enc11	old36	9	2	1957	0	125.59	128.59	2
21	enc	enc12	old39	5	2	1408	0	130.59	133.589	4.5
22	enc	enc13	old68	8	2	2257	0	138.089	141.089	4.5
23	enc	enc14	old67	8	2	1592	0	145.588	148.588	2.5
24	enc	enc15	old72	9	2	2267	0	151.088	154.088	1
25	enc	enc16	old73	8	2	2685	0	155.088	158.087	1.5
26	enc	enc17	old03	5	2	2548	0	159.587	162.587	4
27	ctl	ctl07	nan	5	2	1367	0	166.587	169.587	3
28	ctl	ctl08	nan	8	2	1116	0	172.586	175.586	1
29	enc	enc18	old38	8	2	1600	0	176.586	179.586	1
30	enc	enc19	old20	8	2	1659	0	180.586	183.585	0.5
31	enc	enc20	old18	5	2	2040	0	184.085	187.085	3.5
32	enc	enc21	old76	9	2	2085	0	190.585	193.585	4.5
33	enc	enc22	old15	9	2	2049	0	198.084	201.084	9.5
34	ctl	ctl09	nan	8	2	913	0	210.583	213.583	3.5
35	enc	enc23	old12	6	2	1548	0	217.083	220.083	4
36	ctl	ctl10	nan	9	2	801	0	224.082	227.082	4
37	enc	enc24	old19	8	2	1500	0	231.082	234.081	1
38	enc	enc25	old50	8	2	1679	0	235.081	238.081	6
39	enc	enc26	old24	9	2	2009	0	244.081	247.08	6.5
40	enc	enc27	old49	5	2	1512	0	253.58	256.58	2
41	enc	enc28	old32	6	2	1552	0	258.58	261.579	1.5
42	enc	enc29	old51	9	2	2132	0	263.079	266.079	2.5
43	enc	enc30	old44	8	2	1812	0	268.579	271.579	4.5
44	enc	enc31	old33	6	2	1832	0	276.078	279.078	0.5
45	enc	enc32	old11	6	2	1937	0	279.578	282.578	1
46	ctl	ctl11	nan	6	2	1506	0	283.578	286.577	1.5
47	enc	enc33	old10	9	2	1877	0	288.077	291.077	2
48	enc	enc34	old64	8	2	1806	0	293.077	296.077	4
49	ctl	ctl12	nan	6	2	1008	0	300.076	303.076	2
50	enc	enc35	old13	9	2	1513	0	305.076	308.076	2.5
