trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	9	1	900	0	5.018	8.027	3
2	enc	enc00	nan	5	1	749	0	11.019	14.028	2
3	enc	enc000	nan	9	1	788	0	16.017	19.026	1
4	ctl	ctl01	nan	6	1	854	0	20.029	23.038	8
5	enc	enc01	old64	8	1	770	0	31.029	34.037	7.5
6	enc	enc02	old09	5	1	1274	0	41.526	44.535	0.5
7	enc	enc03	old61	5	1	896	0	45.037	48.046	6
8	enc	enc04	old52	6	1	945	0	54.047	57.056	2
9	enc	enc05	old50	5	1	759	0	59.045	62.054	2
10	enc	enc06	old77	9	1	1177	0	64.044	67.053	4
11	ctl	ctl02	nan	5	1	794	0	71.048	74.057	2.5
12	ctl	ctl03	nan	6	1	893	0	76.548	79.557	1.5
13	ctl	ctl04	nan	6	1	777	0	81.044	84.053	5
14	ctl	ctl05	nan	9	1	681	0	89.052	92.061	1
15	enc	enc07	old59	6	1	793	0	93.064	96.072	3
16	enc	enc08	old02	8	1	853	0	99.065	102.074	3
17	ctl	ctl06	nan	9	1	715	0	105.066	108.075	2.5
18	enc	enc09	old43	9	1	738	0	110.566	113.575	6.5
19	enc	enc10	old08	5	1	702	0	120.077	123.086	2.5
20	enc	enc11	old30	9	1	759	0	125.577	128.586	2
21	enc	enc12	old33	5	1	811	0	130.575	133.584	4.5
22	enc	enc13	old71	8	1	820	0	138.081	141.09	4.5
23	enc	enc14	old75	8	1	722	0	145.587	148.596	2.5
24	enc	enc15	old72	9	1	776	0	151.087	154.096	1
25	enc	enc16	old74	8	1	908	0	155.099	158.107	1.5
26	enc	enc17	old13	5	1	1096	0	159.595	162.604	4
27	ctl	ctl07	nan	5	1	848	0	166.599	169.608	3
28	ctl	ctl08	nan	8	1	531	0	172.601	175.61	1
29	enc	enc18	old35	8	1	593	0	176.613	179.622	1
30	enc	enc19	old20	8	1	821	0	180.625	183.634	0.5
31	enc	enc20	old25	5	1	1065	0	184.135	187.144	3.5
32	enc	enc21	old67	9	1	699	0	190.638	193.647	4.5
33	enc	enc22	old17	9	1	620	0	198.144	201.153	9.5
