trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	ctl	ctl0	nan	9	2	848	0	5.041	8.04	3
2	enc	enc00	nan	5	2	882	0	11.04	14.04	2
3	enc	enc000	nan	9	2	915	0	16.04	19.039	1
4	ctl	ctl01	nan	6	2	860	0	20.039	23.039	8
5	enc	enc01	old54	8	2	886	0	31.038	34.038	7.5
6	enc	enc02	old07	5	2	715	0	41.538	44.537	0.5
7	enc	enc03	old63	5	2	1010	0	45.037	48.037	6
8	enc	enc04	old45	6	2	1305	0	54.037	57.036	2
9	enc	enc05	old52	5	2	878	0	59.036	62.036	2
10	enc	enc06	old72	9	2	812	0	64.036	67.036	4
11	ctl	ctl02	nan	5	2	785	0	71.035	74.035	2.5
12	ctl	ctl03	nan	6	2	664	0	76.535	79.534	1.5
13	ctl	ctl04	nan	6	2	784	0	81.034	84.034	5
14	ctl	ctl05	nan	9	2	978	0	89.034	92.033	1
15	enc	enc07	old61	6	2	955	0	93.033	96.033	3
16	enc	enc08	old13	8	2	870	0	99.033	102.033	3
17	ctl	ctl06	nan	9	2	947	0	105.032	108.032	2.5
18	enc	enc09	old48	9	2	713	0	110.532	113.532	6.5
19	enc	enc10	old08	5	2	853	0	120.031	123.031	2.5
20	enc	enc11	old36	9	2	495	0	125.531	128.53	2
21	enc	enc12	old31	5	2	904	0	130.53	133.53	4.5
22	enc	enc13	old77	8	2	890	0	138.03	141.029	4.5
23	enc	enc14	old67	8	2	730	0	145.529	148.529	2.5
24	enc	enc15	old69	9	2	848	0	151.029	154.028	1
25	enc	enc16	old74	8	2	1149	0	155.028	158.028	1.5
26	enc	enc17	old01	5	2	1081	0	159.528	162.528	4
27	ctl	ctl07	nan	5	2	1266	0	166.527	169.527	3
28	ctl	ctl08	nan	8	2	774	0	172.527	175.527	1
29	enc	enc18	old32	8	2	719	0	176.527	179.526	1
30	enc	enc19	old17	8	2	706	0	180.526	183.526	0.5
31	enc	enc20	old26	5	2	868	0	184.026	187.026	3.5
32	enc	enc21	old66	9	2	940	0	190.525	193.525	4.5
33	enc	enc22	old16	9	2	711	0	198.025	201.024	9.5
34	ctl	ctl09	nan	8	2	663	0	210.524	213.523	3.5
35	enc	enc23	old09	6	2	626	0	217.023	220.023	4
36	ctl	ctl10	nan	9	2	1298	0	224.023	227.022	4
37	enc	enc24	old14	8	2	617	0	231.022	234.022	1
38	enc	enc25	old46	8	2	847	0	235.022	238.021	6
39	enc	enc26	old23	9	2	761	0	244.021	247.021	6.5
40	enc	enc27	old44	5	2	787	0	253.52	256.52	2
41	enc	enc28	old29	6	2	699	0	258.52	261.52	1.5
42	enc	enc29	old49	9	2	1000	0	263.019	266.019	2.5
43	enc	enc30	old40	8	2	863	0	268.519	271.519	4.5
44	enc	enc31	old39	6	2	685	0	276.018	279.018	0.5
45	enc	enc32	old11	6	2	1112	0	279.518	282.518	1
46	ctl	ctl11	nan	6	2	1934	0	283.518	286.517	1.5
47	enc	enc33	old05	9	2	938	0	288.017	291.017	2
48	enc	enc34	old62	8	2	737	0	293.017	296.017	4
49	ctl	ctl12	nan	6	2	583	0	300.016	303.016	2
50	enc	enc35	old06	9	2	511	0	305.016	308.016	2.5
51	enc	enc36	old56	8	nan	0	1	310.516	313.515	2
52	enc	enc37	old22	9	2	722	0	315.515	318.515	14.5
53	enc	enc38	old75	6	2	788	0	333.014	336.013	4
54	enc	enc39	old24	5	2	754	0	340.013	343.013	1.5
55	ctl	ctl13	nan	5	2	715	0	344.513	347.512	1
56	enc	enc40	old18	6	2	875	0	348.512	351.512	3
57	ctl	ctl14	nan	9	2	840	0	354.512	357.512	5.5
58	ctl	ctl15	nan	8	2	603	0	363.011	366.011	2
59	ctl	ctl16	nan	9	2	649	0	368.011	371.011	2.5
60	enc	enc41	old42	6	2	855	0	373.51	376.51	3
61	enc	enc42	old30	8	2	910	0	379.51	382.51	3
62	enc	enc43	old38	9	2	855	0	385.509	388.509	2
63	enc	enc44	old71	5	2	712	0	390.509	393.509	5
64	enc	enc45	old59	6	2	1203	0	398.508	401.508	4.5
65	enc	enc46	old60	9	2	708	0	406.008	409.007	10.5
66	ctl	ctl17	nan	8	2	802	0	419.507	422.506	2.5
67	enc	enc47	old73	6	2	921	0	425.006	428.006	2.5
68	enc	enc48	old35	9	2	723	0	430.506	433.505	6
69	ctl	ctl18	nan	5	2	569	0	439.505	442.505	3.5
70	ctl	ctl19	nan	5	2	632	0	446.004	449.004	1.5
71	enc	enc49	old19	6	2	845	0	450.504	453.504	2.5
