trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
1	enc	enc00	nan	5	1	869	0	10.239	13.248	4.5
2	enc	enc000	nan	9	1	1673	0	17.745	20.754	4.5
3	ctl	ctl0	nan	9	1	1407	0	25.251	28.259	0.5
4	enc	enc01	old58	8	1	1620	0	28.761	31.77	0.5
5	ctl	ctl01	nan	6	1	1670	0	32.271	35.28	4.5
6	enc	enc02	old04	5	1	1544	0	39.777	42.786	2
7	enc	enc03	old57	5	1	742	0	44.775	47.784	3.5
8	ctl	ctl02	nan	5	1	840	0	51.278	54.287	1.5
9	ctl	ctl03	nan	6	1	1096	0	55.775	58.784	2.5
10	enc	enc04	old78	6	1	1471	0	61.274	64.283	1
11	enc	enc05	old69	5	1	1428	0	65.27	68.278	3
12	ctl	ctl04	nan	6	1	904	0	71.271	74.28	4
13	enc	enc06	old45	9	1	1166	0	78.275	81.284	0.5
14	ctl	ctl05	nan	9	1	898	0	81.785	84.794	2.5
15	enc	enc07	old54	6	1	1084	0	87.285	90.294	2.5
16	ctl	ctl06	nan	9	1	1184	0	92.785	95.794	3.5
17	ctl	ctl07	nan	5	1	804	0	99.287	102.296	1
18	enc	enc08	old10	8	1	1029	0	103.283	106.292	2
19	enc	enc09	old75	9	1	1953	0	108.281	111.29	0.5
20	enc	enc10	old02	5	1	1515	0	111.791	114.8	4.5
21	enc	enc11	old38	9	1	2077	0	119.297	122.306	7
22	enc	enc12	old33	5	1	1363	0	129.293	132.302	0.5
23	enc	enc13	old46	8	1	1070	0	132.804	135.813	2
24	enc	enc14	old49	8	1	1623	0	137.802	140.811	1
25	enc	enc15	old42	9	1	1177	0	141.814	144.823	1
26	enc	enc16	old41	8	1	1389	0	145.826	148.835	3.5
27	enc	enc17	old07	5	1	1832	0	152.328	155.337	1
28	ctl	ctl08	nan	8	1	1162	0	156.324	159.333	2
29	enc	enc18	old31	8	1	1358	0	161.322	164.331	0.5
30	enc	enc19	old26	8	1	1208	0	164.832	167.841	3.5
31	enc	enc20	old16	5	1	1178	0	171.335	174.344	7
32	ctl	ctl09	nan	8	1	802	0	181.331	184.34	2.5
33	enc	enc21	old40	9	1	1006	0	186.831	189.84	5
34	enc	enc22	old24	9	1	1258	0	194.838	197.847	1
