trial_type	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration	duration
enc	enc00		5		0	1	10.016	13.025	4.5	11.516
enc	enc000		9	1.0	999	0	17.521	20.53	4.5	19.021
ctl	ctl0		9	1.0	2166	0	25.026999999999997	28.035999999999998	0.5	22.526999999999997
enc	enc01	old56	8	1.0	1756	0	28.537	31.546	0.5	26.037
ctl	ctl01		6	1.0	1758	0	32.048	35.056999999999995	4.5	33.548
enc	enc02	old06	5	1.0	1630	0	39.553000000000004	42.562	2.0	38.553000000000004
enc	enc03	old64	5	1.0	1597	0	44.552	47.56100000000001	3.5	45.052
ctl	ctl02		5	1.0	910	0	51.053999999999995	54.063	1.5	49.553999999999995
ctl	ctl03		6	1.0	928	0	55.551	58.56	2.5	55.051
enc	enc04	old68	6	1.0	1359	0	61.051	64.06	1.0	59.051
enc	enc05	old76	5	1.0	1826	0	65.063	68.072	3.0	65.063
ctl	ctl04		6	1.0	1326	0	71.064	74.07300000000001	4.0	72.064
enc	enc06	old51	9	1.0	1309	0	78.068	81.077	0.5	75.568
ctl	ctl05		9	1.0	929	0	81.579	84.587	2.5	81.079
enc	enc07	old58	6	1.0	1282	0	87.07799999999999	90.087	2.5	86.57799999999999
ctl	ctl06		9	1.0	758	0	92.57799999999999	95.587	3.5	93.07799999999999
ctl	ctl07		5	1.0	690	0	99.081	102.09	1.0	97.081
enc	enc08	old10	8	1.0	1307	0	103.09299999999999	106.101	2.0	102.09299999999999
enc	enc09	old73	9	1.0	1159	0	108.09100000000001	111.1	0.5	105.59100000000001
enc	enc10	old02	5	1.0	1209	0	111.601	114.61	4.5	113.101
enc	enc11	old28	9	1.0	1082	0	119.10700000000001	122.116	7.0	123.10700000000001
enc	enc12	old36	5	1.0	1160	0	129.10299999999998	132.112	0.5	126.60299999999998
enc	enc13	old45	8	1.0	1092	0	132.614	135.623	2.0	131.614
enc	enc14	old46	8	1.0	1317	0	137.612	140.621	1.0	135.612
enc	enc15	old44	9	1.0	1439	0	141.624	144.63299999999998	1.0	139.624
enc	enc16	old40	8	1.0	1290	0	145.636	148.645	3.5	146.136
